epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.821,1.11442,1.57024,1.34639,0.73222,0.69628,0.72008,0.52061,1.04057,1.2406,1.26891,8.52796e-05,8.52796e-05,8.52796e-05
2,485.254,1.09602,1.61244,1.32463,0.73078,0.71248,0.73535,0.52858,1.04566,1.29815,1.29243,0.000168924,0.000168924,0.000168924
3,724.94,1.11041,1.6171,1.34616,0.73846,0.69567,0.71526,0.50926,1.05043,1.34059,1.28738,0.000250879,0.000250879,0.000250879
4,964.899,1.12446,1.65158,1.34543,0.71806,0.6867,0.72533,0.51031,1.0751,1.33756,1.2934,0.000248397,0.000248397,0.000248397
5,1203.93,1.09496,1.60183,1.33622,0.72829,0.66555,0.71021,0.50774,1.06212,1.36598,1.29534,0.000245862,0.000245862,0.000245862
6,1443.41,1.1211,1.60617,1.34027,0.67671,0.7293,0.70525,0.5021,1.0534,1.37729,1.29366,0.000243328,0.000243328,0.000243328
7,1685.46,1.10332,1.60526,1.32306,0.72257,0.68536,0.7189,0.50998,1.07347,1.31675,1.30967,0.000240794,0.000240794,0.000240794
8,1938.28,1.07962,1.56305,1.32149,0.73816,0.70163,0.73629,0.51504,1.10598,1.25633,1.33221,0.000238259,0.000238259,0.000238259
9,2183.69,1.1047,1.55586,1.33383,0.74065,0.65442,0.71668,0.50492,1.09453,1.29636,1.30771,0.000235725,0.000235725,0.000235725
10,2417.65,1.07902,1.53768,1.32034,0.73064,0.67351,0.72718,0.52033,1.06983,1.29769,1.30975,0.00023319,0.00023319,0.00023319
11,2654.07,1.07738,1.51095,1.31209,0.70439,0.72697,0.73167,0.50949,1.08488,1.26727,1.30802,0.000230656,0.000230656,0.000230656
12,2887.52,1.0823,1.52357,1.3121,0.74715,0.68203,0.74185,0.52679,1.07192,1.23909,1.30112,0.000228122,0.000228122,0.000228122
