epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.502,1.17065,4.22138,1.36737,0.37617,0.24766,0.18904,0.14312,1.05965,3.27198,1.27339,8.52754e-05,8.52754e-05,8.52754e-05
2,219.013,1.24941,3.58554,1.42504,0.36737,0.41834,0.31484,0.21461,1.1307,4.77719,1.30807,0.00016892,0.00016892,0.00016892
3,322.544,1.26442,3.19997,1.4436,0.34196,0.45463,0.34817,0.23901,1.13025,5.73633,1.31488,0.000250874,0.000250874,0.000250874
4,426.995,1.27671,2.95639,1.44952,0.33885,0.42975,0.37473,0.24946,1.15779,6.43409,1.35706,0.000248397,0.000248397,0.000248397
5,531.594,1.25049,2.84273,1.43655,0.384,0.48732,0.42584,0.29143,1.12529,5.44407,1.3342,0.000245862,0.000245862,0.000245862
6,636.274,1.22808,2.693,1.41862,0.39949,0.47501,0.41791,0.28242,1.14226,5.33127,1.35151,0.000243328,0.000243328,0.000243328
7,739.692,1.22197,2.59107,1.42689,0.42248,0.4675,0.4258,0.28278,1.12524,4.84156,1.32639,0.000240794,0.000240794,0.000240794
8,843.201,1.21385,2.52612,1.41676,0.37891,0.53846,0.43508,0.29225,1.14366,5.00304,1.34613,0.000238259,0.000238259,0.000238259
9,946.629,1.18615,2.41649,1.39904,0.44088,0.54154,0.46587,0.31786,1.13003,4.25902,1.32275,0.000235725,0.000235725,0.000235725
10,1049.91,1.18568,2.37084,1.3905,0.41016,0.56392,0.47204,0.31889,1.13792,4.63586,1.33815,0.00023319,0.00023319,0.00023319
11,1153.14,1.17292,2.28612,1.3912,0.45516,0.56795,0.48623,0.32103,1.15101,4.61893,1.35458,0.000230656,0.000230656,0.000230656
12,1256.91,1.16519,2.25576,1.37907,0.43586,0.56716,0.49697,0.3302,1.12829,4.07827,1.33386,0.000228122,0.000228122,0.000228122
13,1360.36,1.15993,2.2461,1.38664,0.52565,0.56628,0.5359,0.36316,1.10743,3.68792,1.32285,0.000225587,0.000225587,0.000225587
14,1464.02,1.14219,2.17084,1.37193,0.48799,0.55307,0.50707,0.3374,1.11627,4.28516,1.334,0.000223053,0.000223053,0.000223053
15,1567.7,1.145,2.12093,1.36159,0.53983,0.59881,0.55194,0.37661,1.10963,2.87747,1.3211,0.000220518,0.000220518,0.000220518
16,1670.98,1.13455,2.11868,1.3706,0.52625,0.62275,0.5664,0.37929,1.11406,3.17988,1.32369,0.000217984,0.000217984,0.000217984
17,1774.72,1.15125,2.07254,1.36905,0.54149,0.61575,0.55196,0.37161,1.12633,2.79716,1.32335,0.00021545,0.00021545,0.00021545
18,1878.42,1.11729,1.99898,1.34144,0.57096,0.60453,0.58281,0.39998,1.09284,2.80797,1.31658,0.000212915,0.000212915,0.000212915
19,1981.44,1.13773,2.01223,1.36049,0.54695,0.61751,0.55646,0.37975,1.11913,2.72882,1.32197,0.000210381,0.000210381,0.000210381
20,2084.89,1.11017,1.94881,1.33364,0.60331,0.59756,0.59897,0.40772,1.10432,2.52624,1.30101,0.000207846,0.000207846,0.000207846
21,2188.03,1.09501,1.93833,1.33416,0.56758,0.62399,0.58348,0.39763,1.11216,2.58725,1.32034,0.000205312,0.000205312,0.000205312
22,2291.36,1.09124,1.90057,1.32561,0.60929,0.59659,0.59928,0.40992,1.11465,2.33841,1.32664,0.000202778,0.000202778,0.000202778
23,2394.67,1.09711,1.85129,1.33066,0.67429,0.58806,0.625,0.43308,1.11014,2.48154,1.31784,0.000200243,0.000200243,0.000200243
24,2498.27,1.09774,1.87559,1.33823,0.61697,0.6465,0.62778,0.43278,1.09857,2.05283,1.30685,0.000197709,0.000197709,0.000197709
25,2601.49,1.0686,1.8126,1.31697,0.62121,0.61334,0.62115,0.42424,1.12733,2.19915,1.33238,0.000195174,0.000195174,0.000195174
26,2705.09,1.07425,1.79573,1.31475,0.66924,0.59206,0.61269,0.42612,1.10359,2.25866,1.30873,0.00019264,0.00019264,0.00019264
27,2809.64,1.07591,1.7766,1.31283,0.6553,0.64098,0.64673,0.45,1.10795,2.05433,1.31982,0.000190106,0.000190106,0.000190106
